0	-29.7535	743.055	5.17154	0	0	0	-29.7535	743.055	5.17154	1
1	-32.1646	759.04	5.78984	0	0	0	-32.1646	759.04	5.78984	1
2	-32.1027	758.545	5.87274	0	0	0	-32.1027	758.545	5.87274	1
3	-33.165	744.446	6.33704	0	0	0	-33.165	744.446	6.33704	1
4	-32.8149	720.538	5.89942	0	0	0	-32.8149	720.538	5.89942	1
5	-31.6941	687.393	7.44706	0	0	0	-31.6941	687.393	7.44706	1
6	-30.3274	649.33	8.6361	0	0	0	-30.3274	649.33	8.6361	1
7	-28.4274	611.288	9.71581	0	0	0	-28.4274	611.288	9.71581	1
8	-26.4976	578.033	11.1989	0	0	0	-26.4976	578.033	11.1989	1
9	-24.957	552.567	13.4767	0	0	0	-24.957	552.567	13.4767	1
10	-23.8994	536.322	16.79	0	0	0	-23.8994	536.322	16.79	1
11	-23.3865	529.572	21.313	0	0	0	-23.3865	529.572	21.313	1
12	-22.5641	531.039	27.4687	0	0	0	-22.5641	531.039	27.4687	1
13	-22.5136	537.059	35.2848	0	0	0	-22.5136	537.059	35.2848	1
14	-23.5054	546.972	44.5674	0	0	0	-23.5054	546.972	44.5674	1
15	-24.9829	559.976	54.8246	0	0	0	-24.9829	559.976	54.8246	1
16	-26.9151	572.482	65.1494	0	0	0	-26.9151	572.482	65.1494	1
17	-28.8765	582.304	74.8351	0	0	0	-28.8765	582.304	74.8351	1
18	-30.9399	589.441	83.2797	0	0	0	-30.9399	589.441	83.2797	1
19	-32.1701	595.148	89.7618	0	0	0	-32.1701	595.148	89.7618	1
20	-32.5828	597.121	94.7791	0	0	0	-32.5828	597.121	94.7791	1
21	-32.8426	593.454	98.4859	0	0	0	-32.8426	593.454	98.4859	1
22	-32.7869	586.056	101.581	0	0	0	-32.7869	586.056	101.581	1
23	-32.6498	575.953	104.125	0	0	0	-32.6498	575.953	104.125	1
24	-32.4967	563.085	106.006	0	0	0	-32.4967	563.085	106.006	1
25	37.8491	707.414	466.936	40.7228	174.203	-194.627	78.5718	881.618	272.309	0.197595
26	-53.0118	815.179	209.286	30.2855	488.855	-53.693	-22.7263	1304.03	155.593	0.374879
27	58.7343	754.361	46.1956	-36.6646	543.486	2.86645	22.0697	1297.85	49.062	0.41876
28	87.2894	602.029	-22.2824	-59.1152	626.124	0.329642	28.1742	1228.15	-21.9528	0.50981
29	31.4617	416.105	-47.9869	-45.4679	634.273	-13.6798	-14.0062	1050.38	-61.6667	0.603852
30	12.2565	203.447	-95.6775	-26.1947	571.822	-22.2819	-13.9382	775.27	-117.959	0.737578
31	13.6806	123.177	-89.7493	2.02393	491.079	-22.7451	15.7045	614.256	-112.494	0.79947
32	1.93117	102.333	-73.906	2.28881	462.387	-11.35	4.21998	564.72	-85.256	0.81879
33	3.73465	96.2512	-68.8299	-8.40689	470.176	0.953973	-4.67225	566.427	-67.8759	0.830073
34	4.40929	96.4981	-68.3081	-10.1072	503.835	9.44361	-5.69796	600.333	-58.8645	0.839259
35	4.13052	95.3868	-66.8849	-4.42461	562.271	15.0754	-0.294083	657.657	-51.8094	0.85496
36	5.52466	91.3865	-63.5413	3.47741	617.356	19.3417	9.00207	708.742	-44.1996	0.871058
37	6.87888	87.3388	-60.2566	18.5133	702.515	1.3822	25.3922	789.853	-58.8744	0.889424
38	9.13975	85.3488	-58.479	20.345	746.888	10.2003	29.4848	832.237	-48.2788	0.897447
39	10.462	85.3512	-58.1256	28.4748	832.807	-9.44662	38.9368	918.158	-67.5722	0.907041
